Model,Type,Train/Test,R²,MSE,MAE,RMSE,Max Error,RSE,RAE,Huber Loss,Adjusted R²
Stacking,MLP DecisionTree,Test,95.48767189392464,3.8556062075853195,10.697515280943685,1.9635697613238292,2.3316162987064923,4.512328106075358,14.241659296658767,1.8747135890527167,-3.5126114725728517
Voting,MLP DecisionTree,Train,97.25031676948072,2.3520439780457423,11.638481463228626,1.5336374989043995,0.9227603411926825,2.7496832305192895,15.490095699353434,1.1760219890228711,-1.7497407853749727
Voting,MLP DecisionTree,Test,94.60988205306859,4.605642969052909,14.798647247821666,2.146076179694679,2.0778694046711883,5.390117946931416,19.701518214267143,2.2770584300304186,-4.390456437131551
,,,,,,,,,,,
Bagging,MLP RandomForest,Train,90.40293310742871,8.209208661214232,21.408294210733423,2.8651716634809565,1.8920475022976175,9.597066892571297,28.493109443178273,4.077642322298156,-8.59726777309233
Bagging,MLP RandomForest,Test,89.49655048997099,8.974782901403339,22.455634294359697,2.995794202111243,1.848726627899675,10.50344951002901,29.895306013755512,4.454817186862866,-9.504109108717163
Boosting,MLP RandomForest,Train,83.70632405551099,13.937402665188683,28.055590312463018,3.733283094702126,2.470005118276561,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744254
Boosting,MLP RandomForest,Test,83.75580572517039,13.880022642619632,28.040913361472615,3.7255902408369646,2.421658132218619,16.244194274829606,37.33101790213015,6.8126508099788206,-15.245214382483148
Stacking,MLP RandomForest,Train,99.74849502068707,0.21513415271829853,3.136305992061874,0.4638255628124635,0.6904948885702011,0.2515049793129237,4.174228408833761,0.10756707635914926,0.7484897563233037
Stacking,MLP RandomForest,Test,98.18871201857645,1.547674065522545,6.950047795517788,1.244055491335714,1.7581499461538026,1.8112879814235432,9.252635794368047,0.769779938194815,-0.8114017272148959
Voting,MLP RandomForest,Train,96.60816472814291,2.9013326470292977,12.777370510110716,1.7033298702920987,1.103956596983979,3.3918352718570857,17.0058862587049,1.450646866864854,-2.391906267885806
Voting,MLP RandomForest,Test,95.03660056661478,4.241028847241787,15.151037691773736,2.0593758392391095,1.3993262120712027,4.963399433385215,20.170657496648335,2.118384128404664,-3.9637111263915843
,,,,,,,,,,,
Bagging,KNeighbors DecisionTree,Train,95.52397932948364,3.8287310141205033,12.98862131882621,1.9567143414715658,1.7873948020852706,4.476020670516355,17.287047959559736,1.9078136194631292,-3.4761143601170064
Bagging,KNeighbors DecisionTree,Test,92.72801293942791,6.2136258253188235,17.145035237909486,2.4927145495059846,1.7873948020852704,7.271987060572078,22.825277092380645,3.0896708803263824,-6.272443728938106
Boosting,KNeighbors DecisionTree,Train,83.70632405551098,13.937402665188692,28.055590312463018,3.733283094702127,2.47000511827656,16.29367594448903,37.34024754131005,6.839225620255822,-15.294016994744275
Boosting,KNeighbors DecisionTree,Test,83.75596667176065,13.879885120112872,28.040596871088972,3.7255717843188676,2.4216581322186186,16.244033328239354,37.33059655679003,6.812582048725443,-15.24505342578571
Stacking,KNeighbors DecisionTree,Train,99.38646819656476,0.524807282378077,4.765601855580473,0.7244358373093348,0.7968989024266653,0.6135318034352397,6.3427199709161695,0.2624036411890385,0.38645535445479695
Stacking,KNeighbors DecisionTree,Test,96.02684712880937,3.394902257489386,10.062955746143972,1.8425260534085768,2.011466476400482,3.9731528711906328,13.396866794781022,1.6736254338985057,-2.9734023784043475
Voting,KNeighbors DecisionTree,Train,98.89695274052994,0.943532562347711,6.105434618381021,0.9713560430386537,1.0735975272265423,1.1030472594700527,8.125954131015282,0.4717606125508633,-0.10307034784806879
Voting,KNeighbors DecisionTree,Test,96.09193776086802,3.3392848823514627,11.047489853564056,1.8273710302922783,1.9150658593770755,3.908062239131982,14.707582316617604,1.6570140507973314,-2.9083076587651853
,,,,,,,,,,,
Bagging,KNeighbors RandomForest,Train,95.51726580951758,3.8344736735048324,13.01054573837496,1.958181215696043,2.0717530660533816,4.482734190482422,17.316227999759644,1.9087048442498724,-3.4828280206067603
Bagging,KNeighbors RandomForest,Test,92.73103715010981,6.2110417566952485,17.179214753321595,2.4921961713908574,1.6887398941779668,7.268962849890177,22.870780464017916,3.0879111226888036,-6.269419328340941
Boosting,KNeighbors RandomForest,Train,83.70632405551099,13.937402665188683,28.055590312463018,3.733283094702126,2.4700051182765606,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744254
Boosting,KNeighbors RandomForest,Test,83.75654753632152,13.879388794279723,28.03934539157218,3.7255051730308635,2.421658132218618,16.243452463678477,37.32893045541725,6.812333885808866,-15.244472524747536
Stacking,KNeighbors RandomForest,Train,99.72487051197025,0.23534225627181407,3.0243468813287526,0.4851208676936234,0.8570384006261793,0.2751294880297494,4.02521778874987,0.11767112813590704,0.7248647531112684
Stacking,KNeighbors RandomForest,Test,98.1342220646489,1.5942335797412228,7.045646574564121,1.2626296288861683,1.625054626051285,1.8657779353511075,9.379906960110594,0.7933413961143313,-0.8658951030184889
Voting,KNeighbors RandomForest,Train,98.53689611948275,1.251520405416316,7.203061552362845,1.1187137280896824,1.1606459753800467,1.4631038805172463,9.586827381815628,0.625711900155912,-0.46313450540223955
Voting,KNeighbors RandomForest,Test,96.61379906417199,2.893375003189912,11.384566193990185,1.700992358357295,1.5654212592938368,3.386200935828017,15.156333851085149,1.4441014156405882,-2.386413583462764
,,,,,,,,,,,
Bagging,DecisionTree RandomForest,Train,99.44979898371862,0.4706349344883864,3.141265241883237,0.6860283773200541,1.1026136766110435,0.550201016281377,4.180828862215296,0.23530594065263086,0.44978746721382934
Bagging,DecisionTree RandomForest,Test,97.4475736088869,2.18094757443065,7.866754352153653,1.476803160353691,1.6539205149165652,2.5524263911131104,10.473052135149334,1.0855725039669968,-1.5525866791306329
Boosting,DecisionTree RandomForest,Train,83.70632405551099,13.937402665188682,28.055590312463018,3.733283094702126,2.4700051182765597,16.29367594448902,37.34024754131005,6.839225620255821,-15.294016994744254
Boosting,DecisionTree RandomForest,Test,83.75596667176066,13.879885120112863,28.04059687108897,3.7255717843188667,2.4216581322186173,16.244033328239343,37.33059655679002,6.812582048725438,-15.245053425785695
Stacking,DecisionTree RandomForest,Train,99.7631842905932,0.2025691385228023,2.8793864714473663,0.45007681402489763,0.8695023206151166,0.23681570940679747,3.8322844899535795,0.10128456926140116,0.7631793336971358
Stacking,DecisionTree RandomForest,Test,98.10845467842285,1.616250793904498,7.004418205006536,1.2713185257458093,1.6917924098602184,1.891545321577163,9.325019411256905,0.8043483313573411,-0.8916641073923803
Voting,DecisionTree RandomForest,Train,99.92947422306683,0.0603268504137134,1.339746012081588,0.24561524874020627,0.4250865884829417,0.07052577693315876,1.7831187002822189,0.0301634252068567,0.9294727468601002
Voting,DecisionTree RandomForest,Test,97.24704148077896,2.352294360341948,6.552601176824395,1.5337191269401147,1.6959939315240917,2.752958519221039,8.723512985623525,1.1617765048515687,-1.7531314003136793
