Bagging Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 90.22423334096791, 'MAE': 21.596099135174555, 'MSE': 8.362066163095614, 'RMSE': 2.891723735610927, 'Adj R²': 0.9021972970008969, 'Max Error': 1.9268400936067474, 'Huber Loss': 4.152040270971167, 'RSE': 9.775766659032097, 'RAE': 28.74306612881584}
Bagging Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 89.33869701026336, 'MAE': 22.68658485216811, 'MSE': 9.109662467326363, 'RMSE': 3.018221739257466, 'Adj R²': 0.8932394830462453, 'Max Error': 1.8966654450310663, 'Huber Loss': 4.521011009095652, 'RSE': 10.661302989736647, 'RAE': 30.20277172633457}

Boosting Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 83.70632405551098, 'MAE': 28.055590312463018, 'MSE': 13.937402665188687, 'RMSE': 3.7332830947021267, 'Adj R²': 0.8369881765037677, 'Max Error': 2.4700051182765614, 'Huber Loss': 6.839225620255822, 'RSE': 16.293675944489024, 'RAE': 37.34024754131005}
Boosting Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 83.75580572517039, 'MAE': 28.040913361472615, 'MSE': 13.880022642619632, 'RMSE': 3.7255902408369646, 'Adj R²': 0.8373333372152036, 'Max Error': 2.4216581322186195, 'Huber Loss': 6.812650809978822, 'RSE': 16.244194274829606, 'RAE': 37.33101790213015}

Stacking Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 99.77367149588963, 'MAE': 3.022529849613506, 'MSE': 0.1935985168198362, 'RMSE': 0.4399983145647676, 'Adj R²': 0.9977356722761701, 'Max Error': 0.8814925106591558, 'Huber Loss': 0.0967992584099181, 'RSE': 0.2263285041103757, 'RAE': 4.022799432433639}
Stacking Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 98.17938242216654, 'MAE': 6.879227603823196, 'MSE': 1.555645837296839, 'RMSE': 1.2472553216149607, 'Adj R²': 0.9817686380387362, 'Max Error': 1.7432778793275445, 'Huber Loss': 0.773178421931772, 'RSE': 1.8206175778334661, 'RAE': 9.15835249446614}

Voting Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Train Metrics: {'R²': 98.28214062320548, 'MAE': 8.877008546716949, 'MSE': 1.4694350089031594, 'RMSE': 1.2122025445044897, 'Adj R²': 0.9828134921502419, 'Max Error': 0.9829010632367889, 'Huber Loss': 0.7347175044515797, 'RSE': 1.7178593767945276, 'RAE': 11.814746824752726}
Voting Combination: ('MLP', 'KNeighbors', 'DecisionTree', 'RandomForest') - Test Metrics: {'R²': 96.25526507086296, 'MAE': 12.355991774980703, 'MSE': 3.1997281445697268, 'RMSE': 1.788778394483153, 'Adj R²': 0.9625008465405852, 'Max Error': 1.5730783055038915, 'Huber Loss': 1.5949119551011315, 'RSE': 3.744734929137038, 'RAE': 16.449597921590435}
